Are you self-employed?,How many employees does your company or organization have?,Is your employer primarily a tech company/organization?,Is your primary role within your company related to tech/IT?,Does your employer provide mental health benefits as part of healthcare coverage?,Do you know the options for mental health care available under your employer-provided coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Does your employer offer resources to learn more about mental health concerns and options for seeking help?,Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,"If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:",Do you think that discussing a mental health disorder with your employer would have negative consequences?,Do you think that discussing a physical health issue with your employer would have negative consequences?,Would you feel comfortable discussing a mental health disorder with your coworkers?,Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Do you feel that your employer takes mental health as seriously as physical health?,Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?,Do you have medical coverage (private insurance or state-provided) which includes treatment of 聽mental health issues?,Do you know local or online resources to seek help for a mental health disorder?,"If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to clients or business contacts?","If you have revealed a mental health issue to a client or business contact, do you believe this has impacted you negatively?","If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to coworkers or employees?","If you have revealed a mental health issue to a coworker or employee, do you believe this has impacted you negatively?",Do you believe your productivity is ever affected by a mental health issue?,"If yes, what percentage of your work time (time performing primary or secondary job functions) is affected by a mental health issue?",Do you have previous employers?,Have your previous employers provided mental health benefits?,Were you aware of the options for mental health care provided by your previous employers?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,Did your previous employers provide resources to learn more about mental health issues and how to seek help?,Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?,Do you think that discussing a mental health disorder with previous employers would have negative consequences?,Do you think that discussing a physical health issue with previous employers would have negative consequences?,Would you have been willing to discuss a mental health issue with your previous co-workers?,Would you have been willing to discuss a mental health issue with your direct supervisor(s)?,Did you feel that your previous employers took mental health as seriously as physical health?,Did you hear of or observe negative consequences for co-workers with mental health issues in your previous workplaces?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Why or why not?,Would you bring up a mental health issue with a potential employer in an interview?,Why or why not?,Do you feel that being identified as a person with a mental health issue would hurt your career?,Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?,How willing would you be to share with friends and family that you have a mental illness?,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Have your observations of how another individual who discussed a mental health disorder made you less likely to reveal a mental health issue yourself in your current workplace?,Do you have a family history of mental illness?,Have you had a mental health disorder in the past?,Do you currently have a mental health disorder?,Have you been diagnosed with a mental health condition by a medical professional?,Have you ever sought treatment for a mental health issue from a mental health professional?,"If you have a mental health issue, do you feel that it interferes with your work when being treated effectively?","If you have a mental health issue, do you feel that it interferes with your work when NOT being treated effectively?",What is your age?,What is your gender?,What country do you live in?,What US state or territory do you live in?,What country do you work in?,What US state or territory do you work in?
0,26-100,1,,Not eligible for coverage / N/A,N/A,No,No,I don't know,Very easy,No,No,Maybe,Yes,I don't know,No,,,,,,,,,1,"No, none did",N/A (not currently aware),I don't know,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,,Maybe,,Maybe,"No, I don't think they would",Somewhat open,No,,No,Yes,No,Yes,0,Not applicable to me,Not applicable to me,39,Male,United Kingdom,,United Kingdom,
0,06岿 25老,1,,No,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Maybe,Yes,Yes,No,,,,,,,,,1,"Yes, they all did",I was aware of some,None did,Some did,"Yes, always",None of them,None of them,"No, at none of my previous employers",Some of my previous employers,Some did,None of them,Maybe,"It would depend on the health issue. If there is a health issue that would not immediately affect my job performance, such as diabetes, I would not bring it up during the interview. If it was something more severe, such as narcolepsy, I might bring it up depending on how controlled it was.",No,"While mental health has become a more prominent issue recently, I feel like there is still a lot of stigma surrounding it. At this point, with our culture, I would not bring it up. I hope that within the next 20-30 years that stigma will be gone and it can be brought up safely in an interview.","No, I don't think it would","No, I don't think they would",Somewhat open,No,,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,29,male,United States of America,Illinois,United States of America,Illinois
0,06岿 25老,1,,No,N/A,No,No,I don't know,Neither easy nor difficult,Maybe,No,Maybe,Maybe,I don't know,No,,,,,,,,,1,"No, none did",N/A (not currently aware),None did,Some did,I don't know,I don't know,Some of them,Some of my previous employers,I don't know,I don't know,Some of them,Yes,"They would provable need to know, to Judge if I can do my job or not. ",Yes,"Stigma, mainly. ",Maybe,Maybe,Somewhat open,Maybe/Not sure,Yes,No,Maybe,No,No,1,Not applicable to me,Not applicable to me,38,Male ,United Kingdom,,United Kingdom,
1,,,,,,,,,,,,,,,,1,"Yes, I know several","Sometimes, if it comes up",I'm not sure,"Sometimes, if it comes up",I'm not sure,Yes,1-25%,1,Some did,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,I don't know,Some of them,Yes,"old back injury, doesn't cause me many issues but occasionally impacts my ability to work at desk ",Maybe,would not if I was not 100% sure that the disclosure would not affect my application,"Yes, I think it would",Maybe,Neutral,No,,No,Yes,Yes,Yes,1,Sometimes,Sometimes,43,male,United Kingdom,,United Kingdom,
0,06岿 25老,0,1,Yes,Yes,No,No,No,Neither easy nor difficult,Yes,Maybe,Maybe,No,No,No,,,,,,,,,1,I don't know,N/A (not currently aware),Some did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers",Some of my previous employers,Some did,Some of them,Maybe,"Depending on the interview stage and whether I required an accommodation, I would",No,I don't know,"Yes, I think it would",Maybe,Somewhat open,"Yes, I experienced",Yes,Yes,Yes,Yes,Yes,1,Sometimes,Sometimes,43,Female,United States of America,Illinois,United States of America,Illinois
0,More than 1000,1,,Yes,I am not sure,No,Yes,Yes,Somewhat easy,Yes,Yes,Maybe,Yes,No,Yes,,,,,,,,,1,"No, none did","Yes, I was aware of all of them",None did,None did,I don't know,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,Yes,If it would potentially affect my ability to do the job or might require special equipment/etc then it would only be fair and honest.,Maybe,It would depend on the field & what I knew of the employer.,"Yes, I think it would",Maybe,Somewhat open,"Yes, I experienced",No,No,No,Yes,No,1,Not applicable to me,Often,42,Male,United Kingdom,,United Kingdom,
0,26-100,1,,I don't know,No,No,No,I don't know,Somewhat easy,No,No,Maybe,Yes,Yes,No,,,,,,,,,1,Some did,I was aware of some,None did,Some did,I don't know,None of them,None of them,Some of my previous employers,"Yes, at all of my previous employers",Some did,None of them,Yes,I want to gauge their ability to support this issue.,Yes,"I want to gauge their ability to support, understand and empathize with my situation.","Yes, I think it would","No, I don't think they would",Not applicable to me (I do not have a mental illness),No,,No,No,No,No,0,Not applicable to me,Not applicable to me,30,M,United States of America,Tennessee,United States of America,Tennessee
0,More than 1000,1,,Yes,Yes,No,Yes,Yes,Very easy,No,No,Maybe,Yes,I don't know,No,,,,,,,,,1,Some did,I was aware of some,Some did,Some did,Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,No,I feel it's irrelevant.,No,Same reason.,Maybe,Maybe,Somewhat open,"Yes, I observed",Maybe,Yes,Yes,Yes,Yes,1,Sometimes,Often,37,female,United States of America,Virginia,United States of America,Virginia
0,26-100,0,1,I don't know,No,No,No,I don't know,Very difficult,Yes,Yes,Yes,Maybe,No,No,,,,,,,,,1,I don't know,N/A (not currently aware),Some did,None did,I don't know,"Yes, all of them","Yes, all of them","No, at none of my previous employers","No, at none of my previous employers",None did,None of them,Maybe,Makes me a less attractive candidate.,Maybe,"Only if I felt I required accommodation. Even then, reluctantly because it makes me a less attractive candidate.",Maybe,"Yes, they do",Somewhat open,"Yes, I observed",No,Yes,Yes,Yes,Yes,1,Rarely,Often,44,Female,United States of America,California,United States of America,California
1,,,,,,,,,,,,,,,,1,I know some,"No, because it doesn't matter",N/A,"Sometimes, if it comes up",No,Yes,1-25%,1,Some did,I was aware of some,None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Yes,"Generally speaking, and this isn't always the case, physical health issues don't carry the same stigma as mental ones.",Maybe,"It really depends on the person, the employer, and how comfortable I felt discussing the issue.",Maybe,"No, I don't think they would",Very open,No,,Yes,Yes,Yes,Yes,1,Rarely,Often,30,Male,United States of America,Kentucky,United States of America,Kentucky
0,26-100,1,,Yes,I am not sure,Yes,Yes,Yes,Very easy,No,No,Maybe,Yes,Yes,No,,,,,,,,,1,"No, none did",N/A (not currently aware),None did,None did,No,Some of them,Some of them,"No, at none of my previous employers",Some of my previous employers,None did,Some of them,Yes,"Being honest upfront shows respect for the future employer. If they see that as a stumbling block in hiring you, then it probably wouldn't have been a good fit in the long run anyways.",Yes,Same reason as above.,"No, I don't think it would",Maybe,Very open,"Yes, I observed",Maybe,I don't know,Yes,Yes,Yes,1,Sometimes,Often,28,Male,United States of America,Oregon,United States of America,Oregon
